title,release_date,budget,revenue,popularity,runtime,vote_average,vote_count,original_language,genres
A Minecraft Movie,2025-03-31,150000000,10550000,681.3142,101,5.869,126,en,"Family, Comedy, Adventure, Fantasy"
A Working Man,2025-03-26,40000000,33392248,352.8585,116,6.9,109,en,"Action, Crime, Thriller"
Captain America: Brave New World,2025-02-12,180000000,409278201,308.3292,119,6.118,1204,en,"Action, Thriller, Science Fiction"
Peter Pan's Neverland Nightmare,2025-01-13,250000,315648,223.5105,89,6.1,30,en,"Horror, Thriller, Fantasy"
Mufasa: The Lion King,2024-12-18,200000000,721046090,176.5402,118,7.446,1851,en,"Adventure, Family, Animation"
Moana 2,2024-11-21,150000000,1059544057,173.9289,99,7.109,2133,en,"Animation, Adventure, Family, Comedy"
Black Bag,2025-03-12,50000000,31420955,173.4384,94,6.597,217,en,"Drama, Mystery, Thriller"
Snow White,2025-03-19,270000000,147200161,158.5135,109,4.538,483,en,"Family, Fantasy"
Sonic the Hedgehog 3,2024-12-19,122000000,486018457,133.9372,110,7.8,2325,en,"Action, Science Fiction, Comedy, Family, Adventure, Fantasy"
Mickey 17,2025-02-28,118000000,121519374,132.991,137,6.963,1108,en,"Science Fiction, Comedy, Adventure"
Flight Risk,2025-01-22,25000000,40420193,120.4115,91,6.14,573,en,"Action, Crime, Thriller"
Opus,2025-03-13,10000000,2183539,97.302,104,5.511,47,en,"Thriller, Mystery, Horror"
Kraven the Hunter,2024-12-11,120000000,59184643,84.0879,127,6.619,1517,en,"Action, Adventure, Thriller"
Companion,2025-01-22,10000000,36499858,78.3779,97,7.1,957,en,"Horror, Science Fiction, Thriller"
Venom: The Last Dance,2024-10-22,120000000,478103649,73.7027,109,6.785,3124,en,"Action, Science Fiction, Adventure"
Gladiator II,2024-11-13,310000000,458718000,69.1941,148,6.764,3126,en,"Action, Adventure, Drama"
"I, the Executioner",2024-09-13,0,53453611,69.8378,118,7.031,48,ko,"Action, Crime"
Flow,2024-08-29,3700000,17660107,66.7675,85,8.251,1720,lv,"Animation, Fantasy, Adventure"
Solo Leveling -ReAwakening-,2024-11-26,0,6331827,59.7459,116,6.9,176,ja,"Action, Adventure, Fantasy, Animation"
Memoir of a Snail,2024-10-17,4350000,2251196,60.6437,94,7.961,345,en,"Animation, Drama, Comedy"
Deadpool & Wolverine,2024-07-24,200000000,1338073645,61.4248,128,7.608,6995,en,"Action, Comedy, Science Fiction"
The Wild Robot,2024-09-12,78000000,331982078,61.6895,102,8.3,4639,en,"Animation, Science Fiction, Family"
Despicable Me 4,2024-06-20,100000000,969280910,61.0406,94,7.1,2667,en,"Animation, Family, Comedy, Science Fiction"
The Monkey,2025-02-14,10000000,64222404,76.9188,98,5.887,363,en,"Horror, Comedy"
Panda Plan,2024-10-01,0,42333207,57.5195,99,6.962,169,zh,"Action, Comedy"
xXx,2002-08-09,70000000,277448382,58.9008,124,5.939,4386,en,"Action, Adventure, Thriller, Crime"
Anora,2024-10-14,6000000,51868503,53.7767,139,7.055,1958,en,"Drama, Comedy, Romance"
Presence,2025-01-16,2000000,9284015,47.6643,84,5.937,254,en,"Horror, Drama, Thriller"
Los Frikis,2024-12-20,0,142723,50.9207,105,6.0,1,en,Drama
Inside Out 2,2024-06-11,200000000,1698863816,50.7195,97,7.556,5712,en,"Animation, Adventure, Comedy, Family"
The Substance,2024-09-07,17500000,76506196,50.1865,141,7.1,4345,en,"Horror, Science Fiction"
Love Hurts,2025-02-06,18000000,16958671,43.3513,83,5.927,144,en,"Action, Comedy, Romance"
The Godfather,1972-03-14,6000000,245066411,46.6622,175,8.686,21268,en,"Drama, Crime"
Blade Runner 2049,2017-10-04,150000000,259239658,41.289,164,7.6,14011,en,"Science Fiction, Drama"
Dog Man,2025-01-24,40000000,114192145,43.2006,89,7.782,188,en,"Family, Animation, Comedy, Action"
Avengers: Infinity War,2018-04-25,300000000,2052415039,37.3148,149,8.236,30371,en,"Adventure, Action, Science Fiction"
Interstellar,2014-11-05,165000000,746606706,49.137,169,8.453,36864,en,"Adventure, Drama, Science Fiction"
The Avengers,2012-04-25,220000000,1518815515,33.7083,143,7.734,31478,en,"Science Fiction, Action, Adventure"
The Shawshank Redemption,1994-09-23,25000000,28341469,43.4324,142,8.707,28054,en,"Drama, Crime"
Last Breath,2025-02-27,23800000,22761967,40.9493,93,6.434,129,en,"Thriller, Drama"
Escape,2024-07-03,0,13368094,38.6766,96,7.3,47,ko,"Action, Drama"
Elevation,2024-11-07,18000000,3300000,38.6069,91,6.49,660,en,"Action, Science Fiction, Thriller"
Spirited Away,2001-07-20,19000000,274925095,39.8266,125,8.536,16993,ja,"Animation, Family, Fantasy"
Red One,2024-10-31,250000000,185700759,39.6222,124,7.06,2424,en,"Action, Comedy, Fantasy"
Wicked,2024-11-20,150000000,747289164,39.0715,162,6.931,2013,en,"Drama, Romance, Fantasy"
Room in Rome,2010-05-07,0,844281,37.3524,109,6.414,758,es,"Drama, Romance"
