release_year,release_month,budget,popularity,runtime,vote_average,vote_count,lang_en,lang_others,genre_action,genre_adventure,genre_animation,genre_comedy,genre_crime,genre_documentary,genre_drama,genre_family,genre_fantasy,genre_history,genre_horror,genre_music,genre_mystery,genre_romance,genre_science_fiction,genre_tv_movie,genre_thriller,genre_war,genre_western,revenue,ROI,ROI_category
2025,3,150000000,681.3142,101,5.869,126,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,10550000,-92.96666666666667,High Risk
2025,3,40000000,352.8585,116,6.9,109,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,33392248,-16.51938,Medium Risk
2025,2,180000000,308.3292,119,6.118,1204,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,409278201,127.37677833333333,No Risk
2025,1,250000,223.5105,89,6.1,30,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,315648,26.2592,Low Risk
2024,12,200000000,176.5402,118,7.446,1851,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,721046090,260.523045,No Risk
2024,11,150000000,173.9289,99,7.109,2133,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1059544057,606.3627046666667,No Risk
2025,3,50000000,173.4384,94,6.597,217,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,31420955,-37.15809,Medium Risk
2025,3,270000000,158.5135,109,4.538,483,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,147200161,-45.48142185185185,Medium Risk
2024,12,122000000,133.9372,110,7.8,2325,1,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,486018457,298.3757844262295,No Risk
2025,2,118000000,132.991,137,6.963,1108,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,121519374,2.982520338983051,Low Risk
2025,1,25000000,120.4115,91,6.14,573,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,40420193,61.680772,Low Risk
2025,3,10000000,97.302,104,5.511,47,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,2183539,-78.16461,High Risk
2024,12,120000000,84.0879,127,6.619,1517,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,59184643,-50.67946416666666,High Risk
2025,1,10000000,78.3779,97,7.1,957,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,36499858,264.99858,No Risk
2024,10,120000000,73.7027,109,6.785,3124,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,478103649,298.4197075,No Risk
2024,11,310000000,69.1941,148,6.764,3126,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,458718000,47.97354838709678,Low Risk
2024,9,0,69.8378,118,7.031,48,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53453611,inf,No Risk
2024,8,3700000,66.7675,85,8.251,1720,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,17660107,377.30018918918915,No Risk
2024,11,0,59.7459,116,6.9,176,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6331827,inf,No Risk
2024,10,4350000,60.6437,94,7.961,345,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2251196,-48.24836781609195,Medium Risk
2024,7,200000000,61.4248,128,7.608,6995,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1338073645,569.0368225,No Risk
2024,9,78000000,61.6895,102,8.3,4639,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,331982078,325.6180487179487,No Risk
2024,6,100000000,61.0406,94,7.1,2667,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,969280910,869.28091,No Risk
2025,2,10000000,76.9188,98,5.887,363,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,64222404,542.22404,No Risk
2024,10,0,57.5195,99,6.962,169,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42333207,inf,No Risk
2002,8,70000000,58.9008,124,5.939,4386,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,277448382,296.3548314285714,No Risk
2024,10,6000000,53.7767,139,7.055,1958,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,51868503,764.47505,No Risk
2025,1,2000000,47.6643,84,5.937,254,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,9284015,364.20075,No Risk
2024,12,0,50.9207,105,6.0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,142723,inf,No Risk
2024,6,200000000,50.7195,97,7.556,5712,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1698863816,749.431908,No Risk
2024,9,17500000,50.1865,141,7.1,4345,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,76506196,337.1782628571429,No Risk
2025,2,18000000,43.3513,83,5.927,144,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,16958671,-5.785161111111111,Medium Risk
1972,3,6000000,46.6622,175,8.686,21268,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,245066411,3984.4401833333336,No Risk
2017,10,150000000,41.289,164,7.6,14011,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,259239658,72.82643866666668,Low Risk
2025,1,40000000,43.2006,89,7.782,188,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,114192145,185.48036249999998,No Risk
2018,4,300000000,37.3148,149,8.236,30371,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2052415039,584.1383463333333,No Risk
2014,11,165000000,49.137,169,8.453,36864,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,746606706,352.48891272727275,No Risk
2012,4,220000000,33.7083,143,7.734,31478,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1518815515,590.3706886363636,No Risk
1994,9,25000000,43.4324,142,8.707,28054,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,28341469,13.365875999999998,Low Risk
2025,2,23800000,40.9493,93,6.434,129,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,22761967,-4.361483193277311,Medium Risk
2024,7,0,38.6766,96,7.3,47,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13368094,inf,No Risk
2024,11,18000000,38.6069,91,6.49,660,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,3300000,-81.66666666666667,High Risk
2001,7,19000000,39.8266,125,8.536,16993,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,274925095,1346.9741842105263,No Risk
2024,10,250000000,39.6222,124,7.06,2424,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,185700759,-25.719696399999997,Medium Risk
2024,11,150000000,39.0715,162,6.931,2013,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,747289164,398.192776,No Risk
2010,5,0,37.3524,109,6.414,758,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,844281,inf,No Risk
2022,5,170000000,33.8534,131,8.181,9704,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1488732821,775.7251888235294,No Risk
2024,7,116000,31.5861,98,8.1,12,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,108000,-6.896551724137931,Medium Risk
2021,10,1800000,34.1045,108,6.288,633,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,393824,-78.12088888888889,High Risk
2024,9,24000000,32.8742,175,6.978,185,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,54000000,125.0,No Risk
2005,12,180000000,35.5134,143,7.133,10850,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,745013115,313.89617499999997,No Risk
2024,10,30000000,36.0262,112,5.9,373,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,3854594,-87.15135333333333,High Risk
2024,10,10000000,41.9174,111,7.1,1471,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,51913394,419.13394000000005,No Risk
2024,6,100000000,34.5766,115,7.383,2822,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,404547819,304.547819,No Risk
2024,12,50000000,33.1156,133,6.7,2454,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,180928503,261.857006,No Risk
2009,12,237000000,34.528,162,7.588,32091,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2923706026,1133.6312345991562,No Risk
2023,5,340000000,33.4067,142,7.0,5833,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,704709660,107.26754705882354,No Risk
2001,11,125000000,31.8656,152,7.902,28074,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,976475550,681.18044,No Risk
1986,5,15000000,24.9833,110,7.056,8845,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,356830601,2278.8706733333333,No Risk
2025,3,18000000,31.3425,109,6.997,156,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,28090637,56.05909444444445,Low Risk
2008,7,185000000,33.1393,152,8.519,33656,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1004558444,443.00456432432435,No Risk
2021,12,200000000,29.9239,148,7.946,20654,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1921847111,860.9235555,No Risk
2024,10,0,29.9793,119,6.719,1019,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,500000,inf,No Risk
1997,11,200000000,31.0524,194,7.906,25853,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2264162353,1032.0811765,No Risk
2024,12,30000000,30.428,134,6.66,527,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19958572,-33.471426666666666,Medium Risk
2025,1,10000000,29.7153,110,6.3,119,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4772,-99.95228,High Risk
2004,7,1000000,31.2759,80,5.447,19,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,11522,-98.84779999999999,High Risk
2024,11,0,29.9209,145,8.6,38,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,18114914,inf,No Risk
2024,10,28000000,29.0523,127,6.6,1401,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,138083280,393.15457142857144,No Risk
2024,10,2000000,32.2925,125,6.849,1532,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,90322103,4416.10515,No Risk
2024,11,90000000,31.8054,106,6.87,305,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,190614864,111.79429333333333,No Risk
2004,9,24000000,30.0799,119,8.397,10197,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,236049757,883.5406541666666,No Risk
2024,12,20000000,27.8688,115,5.8,614,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,60934894,204.67447,No Risk
1999,3,63000000,29.7751,136,8.224,26220,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,463517383,635.7418777777779,No Risk
2001,5,60000000,30.6435,90,7.749,17557,1,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,488628188,714.3803133333333,No Risk
2023,3,90000000,28.0795,170,7.722,6948,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,440157245,389.06360555555557,No Risk
1999,10,63000000,28.6856,139,8.438,30096,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,100853753,60.085322222222224,Low Risk
1993,12,22000000,27.5096,195,8.563,16321,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,321365567,1360.7525772727274,No Risk
2025,1,0,28.149,89,8.677,62,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5800000,inf,No Risk
2024,8,80000000,28.1137,119,7.21,3493,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,350865342,338.5816775,No Risk
2024,10,20000000,28.2296,120,7.2,1761,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,104779967,423.899835,No Risk
2023,5,100000000,28.5466,140,8.3,7449,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,690897910,590.89791,No Risk
2024,9,0,24.9443,134,7.3,45,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7614966,inf,No Risk
2005,11,150000000,26.7893,157,7.801,21088,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,895921036,497.28069066666666,No Risk
2003,12,94000000,27.5338,201,8.482,24917,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1118888979,1090.3074244680852,No Risk
2024,12,9000000,29.1119,215,7.1,912,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,45151320,401.6813333333333,No Risk
2024,3,150000000,26.2027,115,7.1,4133,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,571750016,281.1666773333333,No Risk
2000,5,103000000,29.6051,155,8.217,19531,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,465361176,351.8069669902913,No Risk
2023,7,0,27.6445,93,6.164,70,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,39773,inf,No Risk
2022,12,460000000,26.728,192,7.607,12423,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2320250281,404.40223499999996,No Risk
2025,1,80000000,26.1666,144,7.8,145,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2123000000,2553.75,No Risk
2024,9,20000000,26.4324,101,6.18,408,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,21768945,8.844725,Low Risk
2024,12,0,26.6211,94,6.2,341,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1052998,inf,No Risk
2025,1,25000000,24.7635,102,6.4,548,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,34861127,39.444508,Low Risk
2023,7,100000000,24.2671,181,8.066,10050,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,952000000,852.0,No Risk
2010,7,160000000,29.7139,148,8.369,37286,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,839030630,424.39414375,No Risk
2001,12,93000000,25.9681,179,8.418,25821,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,871368364,836.9552301075269,No Risk
