feature,importance
genre_horror,0.08697522
genre_comedy,0.073833875
vote_count,0.066875786
budget,0.06462521
lang_others,0.06213348
genre_thriller,0.057691798
genre_drama,0.04637887
genre_romance,0.039890755
genre_mystery,0.039099094
genre_family,0.039059088
genre_animation,0.03563359
genre_action,0.035482112
genre_crime,0.03502866
lang_en,0.032141846
genre_fantasy,0.030083
release_year,0.029240148
genre_science_fiction,0.027910717
genre_adventure,0.027382025
genre_music,0.023886042
release_month,0.021515645
genre_history,0.021503633
vote_average,0.020783829
runtime,0.020163579
popularity,0.019333411
genre_war,0.017302034
genre_documentary,0.015479256
genre_western,0.010567283
genre_tv_movie,0.0
