feature,importance
vote_count,0.3993205920473873
budget,0.36284756407936314
popularity,0.0680889374311575
release_year,0.03758731443547822
runtime,0.03523954267525873
vote_average,0.033000276378548646
release_month,0.01721033082331954
genre_adventure,0.007892103923541519
genre_animation,0.004351426706657805
genre_science_fiction,0.0036718709567800417
genre_family,0.0036502333423708505
genre_comedy,0.0034977820329562415
genre_drama,0.0034664571958497605
genre_fantasy,0.003105525643426715
genre_thriller,0.0030873559153637158
genre_action,0.002506286982275493
genre_romance,0.002298147806568235
genre_crime,0.0019880239392348884
genre_mystery,0.0013560906334031775
genre_war,0.0012871654820945547
genre_music,0.0010722972224096465
lang_others,0.000967588489870707
lang_en,0.0009462917011938285
genre_horror,0.0006936014337910833
genre_history,0.0006389420724836263
genre_western,0.000194006472401494
genre_documentary,3.2485417339593905e-05
genre_tv_movie,1.758759474014073e-06
