feature,importance
vote_count,0.26121292
genre_adventure,0.18900321
budget,0.1646194
popularity,0.06812703
genre_family,0.04170592
runtime,0.036121078
genre_animation,0.033020403
release_year,0.025870623
genre_comedy,0.023088846
genre_action,0.021011561
release_month,0.01908693
genre_war,0.016618095
genre_drama,0.015797503
vote_average,0.015584987
genre_fantasy,0.013756116
genre_science_fiction,0.013111814
genre_romance,0.012083615
genre_crime,0.009666973
lang_en,0.0065372894
genre_music,0.0044153077
genre_western,0.0033325183
genre_mystery,0.0025734738
genre_tv_movie,0.002079817
genre_documentary,0.0015746217
lang_others,0.0
genre_history,0.0
genre_horror,0.0
genre_thriller,0.0
